NAME,LOCATION,City,IMAGE,RATING,BOOK NOW
Hotel golden keys,uttarahalli , Bangalore,https://jiwirooms.com/app/hotel_logo/1s.jpg,3,https://jiwirooms.com//Bangalore/Homestay-and-Guest-House/profile/Hotel-golden-keys_BUDGET_STAYS_HOTEL_RWWs
Lusia inn,N r road , Bangalore,https://jiwirooms.com/app/hotel_logo/37921.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Lusia-inn_BUDGET_STAYS_HOTEL_RWZr
Deeya suites,indiranagar , Bangalore,https://jiwirooms.com/app/hotel_logo/deeya7.JPG,3,https://jiwirooms.com//Bangalore/Homestay-and-Guest-House/profile/Deeya-suites_BUDGET_STAYS_HOTEL_RWXy
Hotel Ozone,Ashok Nagar , Bangalore,https://jiwirooms.com/app/hotel_logo/ozone3.png,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Hotel-Ozone_BUDGET_STAYS_HOTEL_RWVr
Status Fine Dine,murugeshpalya , Bangalore,https://jiwirooms.com/app/hotel_logo/39202.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Status-Fine-Dine_BUDGET_STAYS_HOTEL_RYSp
Sree sai comforts,Mysore Road , Bangalore,https://jiwirooms.com/app/hotel_logo/sai5.jpg,3,https://jiwirooms.com//Bangalore/Homestay-and-Guest-House/profile/Sree-sai-comforts_BUDGET_STAYS_HOTEL_RVRs
Surya inn,Chikkajala , Bangalore,https://jiwirooms.com/app/hotel_logo/suri2.jpg,3,https://jiwirooms.com//Bangalore/Homestay-and-Guest-House/profile/Surya-inn_BUDGET_STAYS_HOTEL_RWTt
Royal inn,Electronic City , Bangalore,https://jiwirooms.com/app/hotel_logo/royal1.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Royal-inn_BUDGET_STAYS_HOTEL_RWVy
Green paradise serviced apartment,HBR layout , Bangalore,https://jiwirooms.com/app/hotel_logo/gp5.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Green-paradise-serviced-apartment_BUDGET_STAYS_HOTEL_RXSp
Dass Suites,Domlur , Bangalore,https://jiwirooms.com/app/hotel_logo/39192.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Dass-Suites_BUDGET_STAYS_HOTEL_RYRy
Aishwarya Comforts,New BEL road , Bangalore,https://jiwirooms.com/app/hotel_logo/ai2.jpg,3,https://jiwirooms.com//Bangalore/Homestay-and-Guest-House/profile/Aishwarya-Comforts_BUDGET_STAYS_HOTEL_RWTv
