New Shree Niwas Lodging House,Mahalaxmi Sindhi Colony,6998 5398,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/47/cc/47cc0915666a4e3f6c022b451f083100.jpg,2.0
Hotel Sun Beach Resort,Gorai Beach,9998 6880,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/34/95/3495db86fef148242b6fc75fa79eba35.jpg,3.0
Apex International,Andheri,5200 5000,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/52/6d/526d62727d5ef257317b4f7a5ebe1a05.jpg,3.0
Decent Guest House,Kismat Nagar,4998 4318,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/32/5a/325a354186e57f164501c5886cb461bb.jpg,2.0
Hotel Grand Skylight,Andheri East,4998 3880,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/bf/52/bf52bb5705a428c885c807b324d13223.jpg,2.0
Hotel Siddhartha,Bandra West,8200 7598,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/01/63/016308138e5dae5ccb147e2fa8670e58.jpg,3.0
Hotel Starwood Residency,Nerul,6000 6000,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/8a/81/8a817b7209ad043ef2176340ddff9daf.jpg,3.0
Executive Flamingo Apartment,Thane,5000 3998,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/e0/6e/e06e47ff662e5366a732ba0e59b3c532.jpg,3.0
Hotel Nest Inn,Vashi,7200 5998,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/d0/41/d04144cebdafd33ccc0a105e7d46d18f.jpg,3.0
Silver Lake Comfort Stay,Kurla,7000 4998,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/48/f9/48f90f42ffa466aae17b3e5221d0be66.jpg,2.0
Hotel Pearl,Vashi,3998 3398,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/85/cc/85cc4f8ec4f251c3a71300873c133a02.jpg,2.0
Hotel BKC Palace,BKC Complex,6000 6000,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/0d/84/0d840b124c5ef7c73f2c872f8f6ce1b2.jpg,2.0
Grand Residency Hotel & Serviced Apartments,Bandra West,24000 19998,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/55/9c/559cd8fc524c5f9f7881cbe3d2d3ffd3.jpg,4.0
Hotel Ratna Palace Residency,Thane West,6800 6800,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/f1/a9/f1a98147fb9a05a43cbb4b3f54fc9a16.jpg,2.0
Hotel Parklane,Dadar East,14000 13000,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/b9/7c/b97c7d06b34ed4cb95ecf60f07563639.jpg,3.0
Executive Imperial,Malad West,7000 6000,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/9d/bb/9dbb59fb0dbb3f5832ab1e734a206ed9.jpg,2.0
Hotel Imperial Palace,Andheri East,6800 5600,https://d1ha4q9jvugw4k.cloudfront.net/public_media/cache/8d/a2/8da275d5c9bf4f70119e16d01d9fc86a.jpg,3.0
